Date,Prime Lending Rate,3-month Fixed Deposit Rate,6-month Fixed Deposit Rate,12-month Fixed Deposit Rate,Savings Deposit Rate 
1983-Jan,9.53,6.75,6.8,7.13,6.5
1983-Feb,9.25,6.4,6.7,6.93,6.4
1983-Mar,9.1,6.18,6.48,6.83,6.3
1983-Apr,9.03,6.1,6.35,6.73,6.15
1983-May,9.03,6.1,6.35,6.73,6.13
1983-Jun,8.88,6.05,6.3,6.63,6.08
1983-Jul,9.0,6.18,6.4,6.65,6.13
1983-Aug,9.0,6.3,6.48,6.73,6.23
1983-Sep,8.95,6.38,6.5,6.73,6.23
1983-Oct,8.93,6.35,6.48,6.7,6.2
1983-Nov,8.93,6.45,6.48,6.7,6.2
1983-Dec,8.98,6.53,6.55,6.75,6.3
1984-Jan,9.05,6.63,6.63,6.83,6.38
1984-Feb,9.0,6.63,6.6,6.8,6.38
1984-Mar,9.2,6.78,6.75,6.95,6.48
1984-Apr,9.63,7.18,7.13,7.18,6.96
1984-May,9.98,7.35,7.33,7.35,7.16
1984-Jun,10.08,7.35,7.33,7.35,7.26
1984-Jul,10.1,7.35,7.33,7.35,7.26
1984-Aug,10.1,7.35,7.33,7.35,7.26
1984-Sep,10.33,7.58,7.6,7.58,7.49
1984-Oct,10.08,7.1,7.28,7.43,7.14
1984-Nov,9.68,6.4,6.65,6.98,6.78
1984-Dec,9.4,6.0,6.35,6.8,6.53
1985-Jan,9.08,5.78,6.1,6.55,6.3
1985-Feb,9.03,5.7,6.03,6.5,6.28
1985-Mar,9.03,5.73,6.03,6.5,6.28
1985-Apr,8.73,5.38,5.68,6.15,6.13
1985-May,8.48,5.15,5.4,5.83,5.9
1985-Jun,8.28,5.03,5.28,5.65,5.68
1985-Jul,8.03,4.63,4.9,5.23,5.43
1985-Aug,7.28,4.38,4.63,4.9,5.18
1985-Sep,7.2,4.38,4.6,4.85,5.15
1985-Oct,7.23,4.6,4.73,4.88,5.18
1985-Nov,7.2,4.58,4.7,4.88,5.18
1985-Dec,7.2,4.58,4.7,4.88,5.18
1986-Jan,7.2,4.55,4.68,4.88,5.03
1986-Feb,7.2,4.55,4.68,4.88,5.03
1986-Mar,7.18,4.45,4.63,4.83,5.0
1986-Apr,7.15,4.43,4.58,4.75,4.8
1986-May,7.15,4.43,4.55,4.73,4.78
1986-Jun,7.15,4.43,4.55,4.73,4.78
1986-Jul,7.05,4.1,4.33,4.4,4.4
1986-Aug,6.83,3.9,4.03,4.18,4.13
1986-Sep,6.45,3.33,3.45,3.68,3.63
1986-Oct,6.28,3.0,3.13,3.35,3.28
1986-Nov,6.1,2.88,3.03,3.3,3.1
1986-Dec,6.1,2.88,3.03,3.3,3.05
1987-Jan,6.1,2.88,3.03,3.3,3.05
1987-Feb,6.1,2.88,3.03,3.3,3.05
1987-Mar,6.1,2.85,3.0,3.28,3.03
1987-Apr,6.1,2.85,3.0,3.28,3.03
1987-May,6.1,2.85,3.05,3.38,3.03
1987-Jun,6.1,2.88,3.08,3.45,3.03
1987-Jul,6.1,2.88,3.08,3.48,3.03
1987-Aug,6.1,2.88,3.08,3.48,3.03
1987-Sep,6.1,2.9,3.15,3.6,3.05
1987-Oct,6.1,2.98,3.23,3.76,3.08
1987-Nov,6.1,2.95,3.23,3.74,3.08
1987-Dec,6.1,2.85,3.11,3.53,2.98
1988-Jan,5.98,2.66,2.91,3.31,2.75
1988-Feb,5.93,2.61,2.86,3.26,2.7
1988-Mar,5.85,2.58,2.85,3.25,2.68
1988-Apr,5.85,2.58,2.85,3.25,2.68
1988-May,5.85,2.58,2.85,3.28,2.68
1988-Jun,5.85,2.6,2.98,3.45,2.65
1988-Jul,5.85,2.7,3.0,3.51,2.65
1988-Aug,6.05,2.88,3.18,3.75,2.75
1988-Sep,6.05,2.88,3.23,3.78,2.75
1988-Oct,6.05,2.88,3.23,3.86,2.75
1988-Nov,6.13,2.95,3.33,3.98,2.83
1988-Dec,6.13,2.95,3.33,4.03,2.83
1989-Jan,6.13,2.99,3.36,4.03,2.83
1989-Feb,6.15,3.03,3.39,4.0,2.85
1989-Mar,6.18,3.05,3.41,4.03,2.88
1989-Apr,6.2,3.18,3.66,4.48,2.93
1989-May,6.23,3.25,3.79,4.58,2.95
1989-Jun,6.23,3.28,3.79,4.6,2.95
1989-Jul,6.23,3.28,3.79,4.6,2.95
1989-Aug,6.23,3.28,3.79,4.53,2.95
1989-Sep,6.23,3.28,3.79,4.53,2.98
1989-Oct,6.23,3.28,3.79,4.53,2.98
1989-Nov,6.25,3.3,3.79,4.53,2.98
1989-Dec,6.25,3.35,3.86,4.55,2.98
1990-Jan,6.28,3.55,4.04,4.65,2.98
1990-Feb,6.6,3.83,4.3,4.93,3.0
1990-Mar,6.65,3.93,4.33,4.93,3.0
1990-Apr,7.03,4.45,4.88,5.2,3.18
1990-May,7.23,4.5,5.0,5.28,3.28
1990-Jun,7.6,4.95,5.45,5.7,3.58
1990-Jul,7.65,5.08,5.5,5.76,3.65
1990-Aug,7.9,5.18,5.63,6.06,3.85
1990-Sep,7.9,5.2,5.63,6.08,3.88
1990-Oct,7.9,5.2,5.63,6.08,3.88
1990-Nov,7.88,5.14,5.56,5.97,3.85
1990-Dec,7.73,5.05,5.37,5.48,3.83
1991-Jan,7.45,4.55,4.86,5.02,3.73
1991-Feb,7.43,4.55,4.86,5.02,3.73
1991-Mar,7.43,4.52,4.85,4.99,3.73
1991-Apr,7.43,4.52,4.85,4.99,3.73
1991-May,7.43,4.53,4.87,5.0,3.73
1991-Jun,7.71,4.89,5.3,5.38,3.76
1991-Jul,7.91,4.96,5.38,5.43,3.81
1991-Aug,7.91,4.93,5.36,5.42,3.81
1991-Sep,7.85,4.88,5.24,5.28,3.75
1991-Oct,7.7,4.71,4.96,5.03,3.73
1991-Nov,7.65,4.68,4.96,5.0,3.73
1991-Dec,7.1,3.84,4.13,4.17,3.05
1992-Jan,6.55,3.46,3.68,3.83,2.7
1992-Feb,6.18,3.1,3.31,3.56,2.33
1992-Mar,6.18,3.1,3.31,3.56,2.33
1992-Apr,6.18,3.1,3.31,3.56,2.33
1992-May,6.18,3.1,3.31,3.56,2.33
1992-Jun,6.13,3.05,3.26,3.51,2.3
1992-Jul,5.89,2.81,3.05,3.31,2.08
1992-Aug,5.86,2.77,3.01,3.27,2.05
1992-Sep,5.63,2.56,2.79,3.06,1.86
1992-Oct,5.55,2.46,2.69,2.97,1.79
1992-Nov,5.55,2.46,2.69,2.97,1.79
1992-Dec,5.55,2.46,2.69,2.97,1.79
1993-Jan,5.55,2.46,2.69,3.0,1.79
1993-Feb,5.55,2.46,2.69,3.0,1.79
1993-Mar,5.38,2.28,2.53,2.83,1.6
1993-Apr,5.36,2.27,2.51,2.81,1.59
1993-May,5.36,2.27,2.51,2.81,1.59
1993-Jun,5.36,2.27,2.51,2.81,1.59
1993-Jul,5.36,2.27,2.51,2.81,1.59
