district,propertyType,contractDate,tenure,per_meter_square,typeOfArea
4,Condominium,09-2020,99-years,15044.25,Strata
4,Condominium,10-2020,99-years,16391.75,Strata
4,Condominium,03-2018,99-years,16071.43,Strata
4,Condominium,01-2018,99-years,16053.81,Strata
4,Condominium,05-2016,99-years,16371.68,Strata
4,Condominium,02-2019,99-years,15265.49,Strata
4,Condominium,07-2018,99-years,15979.38,Strata
4,Condominium,07-2017,99-years,15250.0,Strata
4,Condominium,11-2017,99-years,16517.86,Strata
4,Condominium,02-2020,99-years,14432.99,Strata
4,Condominium,01-2018,99-years,15884.96,Strata
4,Condominium,09-2018,99-years,12643.68,Strata
4,Condominium,06-2016,99-years,14728.68,Strata
4,Condominium,10-2020,99-years,15525.11,Strata
4,Condominium,11-2020,99-years,16359.45,Strata
4,Condominium,08-2020,99-years,15778.69,Strata
4,Condominium,11-2020,99-years,17191.01,Strata
4,Condominium,05-2019,99-years,14684.68,Strata
4,Condominium,12-2018,99-years,19201.39,Strata
4,Condominium,05-2018,99-years,20449.57,Strata
4,Condominium,10-2020,99-years,15957.45,Strata
4,Condominium,10-2020,99-years,11936.94,Strata
4,Condominium,04-2016,99-years,18301.86,Strata
4,Condominium,05-2018,99-years,17553.19,Strata
4,Condominium,03-2016,99-years,16755.32,Strata
4,Condominium,04-2018,99-years,16755.32,Strata
4,Condominium,02-2017,99-years,16986.3,Strata
4,Condominium,08-2018,99-years,19213.11,Strata
4,Condominium,03-2017,99-years,16489.36,Strata
4,Condominium,11-2017,99-years,17123.29,Strata
4,Condominium,03-2018,99-years,19414.89,Strata
4,Condominium,05-2017,99-years,17127.66,Strata
4,Condominium,10-2017,99-years,13470.32,Strata
4,Condominium,05-2016,99-years,19680.85,Strata
4,Condominium,05-2017,99-years,15025.91,Strata
4,Condominium,08-2019,99-years,17657.99,Strata
4,Condominium,11-2016,99-years,16588.79,Strata
4,Condominium,05-2018,99-years,20212.77,Strata
4,Condominium,08-2016,99-years,16438.36,Strata
4,Condominium,08-2020,99-years,14754.1,Strata
4,Condominium,07-2020,99-years,14090.16,Strata
4,Condominium,06-2020,99-years,17277.49,Strata
4,Condominium,10-2017,99-years,17819.15,Strata
4,Condominium,11-2017,99-years,15541.8,Strata
4,Condominium,05-2017,99-years,17511.52,Strata
4,Condominium,02-2017,99-years,18625.95,Strata
4,Condominium,11-2020,99-years,13715.17,Strata
1,Condominium,01-2021,99-years,19277.11,Strata
1,Condominium,10-2020,99-years,20682.73,Strata
1,Condominium,07-2016,99-years,24096.39,Strata
1,Condominium,06-2017,99-years,20333.33,Strata
1,Condominium,03-2019,99-years,22384.11,Strata
1,Condominium,11-2019,99-years,18795.18,Strata
1,Condominium,08-2019,99-years,20066.23,Strata
1,Condominium,01-2018,99-years,22162.16,Strata
4,Detached,09-2017,99-years,19076.69,Land
1,Apartment,01-2021,99-years,25609.76,Strata
1,Apartment,11-2016,99-years,29689.55,Strata
1,Apartment,07-2020,99-years,24595.74,Strata
1,Apartment,07-2020,99-years,25873.02,Strata
1,Apartment,03-2017,99-years,24390.24,Strata
1,Apartment,03-2017,99-years,19362.75,Strata
1,Apartment,09-2016,99-years,27619.05,Strata
1,Apartment,11-2017,99-years,21504.66,Strata
1,Apartment,12-2016,99-years,23344.2,Strata
1,Apartment,08-2016,99-years,28050.0,Strata
1,Apartment,10-2018,99-years,30000.0,Strata
1,Apartment,03-2018,99-years,26583.33,Strata
1,Apartment,12-2016,99-years,24533.93,Strata
1,Apartment,10-2016,99-years,20524.25,Strata
1,Apartment,12-2016,99-years,21267.86,Strata
1,Apartment,09-2018,99-years,33272.73,Strata
1,Apartment,01-2017,99-years,19225.35,Strata
1,Apartment,02-2017,99-years,24491.48,Strata
1,Apartment,03-2017,99-years,28681.36,Strata
1,Apartment,02-2016,99-years,31553.19,Strata
1,Apartment,03-2017,99-years,28992.27,Strata
1,Apartment,02-2018,99-years,22187.5,Strata
1,Apartment,11-2018,99-years,25555.56,Strata
1,Apartment,09-2017,99-years,22183.1,Strata
1,Apartment,11-2017,99-years,27623.19,Strata
1,Apartment,01-2017,99-years,23689.13,Strata
1,Apartment,02-2018,99-years,29478.4,Strata
1,Apartment,09-2017,99-years,21250.0,Strata
1,Apartment,02-2017,99-years,22656.25,Strata
1,Apartment,05-2017,99-years,19943.66,Strata
1,Apartment,01-2017,99-years,28636.36,Strata
1,Apartment,03-2018,99-years,23333.33,Strata
1,Apartment,04-2017,99-years,19647.89,Strata
1,Apartment,06-2016,99-years,26147.62,Strata
1,Apartment,10-2016,99-years,23292.68,Strata
1,Apartment,10-2016,99-years,27380.95,Strata
1,Apartment,12-2016,99-years,22617.39,Strata
1,Apartment,04-2017,99-years,22605.63,Strata
1,Apartment,08-2018,99-years,34382.98,Strata
1,Apartment,04-2017,99-years,23660.71,Strata
1,Apartment,10-2017,99-years,24778.76,Strata
1,Apartment,11-2016,99-years,29005.45,Strata
1,Apartment,03-2017,99-years,29672.39,Strata
1,Apartment,03-2018,99-years,23818.18,Strata
1,Apartment,01-2019,99-years,22182.93,Strata
1,Apartment,04-2017,99-years,22352.11,Strata
1,Apartment,12-2017,99-years,25000.0,Strata
1,Apartment,01-2019,99-years,22198.58,Strata
1,Apartment,05-2017,99-years,22406.43,Strata
1,Apartment,04-2018,99-years,34714.29,Strata
1,Apartment,04-2017,99-years,23478.26,Strata
1,Apartment,02-2019,99-years,25497.14,Strata
1,Apartment,10-2018,99-years,23700.94,Strata
1,Apartment,08-2016,99-years,26957.14,Strata
1,Apartment,10-2016,99-years,27308.69,Strata
1,Apartment,04-2017,99-years,24878.05,Strata
1,Apartment,07-2016,99-years,21862.83,Strata
1,Apartment,06-2016,99-years,24247.19,Strata
1,Apartment,03-2017,99-years,29167.16,Strata
1,Apartment,08-2017,99-years,20960.78,Strata
1,Apartment,10-2018,99-years,23903.44,Strata
1,Apartment,12-2018,99-years,27142.86,Strata
1,Apartment,12-2017,99-years,27012.86,Strata
1,Apartment,04-2017,99-years,20902.65,Strata
1,Apartment,04-2017,99-years,22665.13,Strata
1,Apartment,02-2018,99-years,23483.15,Strata
1,Apartment,01-2018,99-years,26222.22,Strata
1,Apartment,12-2018,99-years,23112.06,Strata
1,Apartment,03-2019,99-years,22340.43,Strata
1,Apartment,05-2018,99-years,23614.23,Strata
1,Apartment,12-2018,99-years,25039.68,Strata
1,Apartment,07-2020,99-years,23580.14,Strata
1,Apartment,05-2019,99-years,22014.87,Strata
1,Apartment,11-2017,99-years,26760.56,Strata
1,Apartment,05-2017,99-years,21126.76,Strata
1,Apartment,07-2019,99-years,26113.02,Strata
1,Apartment,03-2018,99-years,24778.76,Strata
1,Apartment,11-2019,99-years,26331.69,Strata
1,Apartment,06-2017,99-years,24414.78,Strata
1,Apartment,09-2017,99-years,21245.15,Strata
1,Apartment,10-2016,99-years,23712.87,Strata
1,Apartment,11-2019,99-years,23539.82,Strata
1,Apartment,02-2020,99-years,26349.21,Strata
1,Apartment,06-2020,99-years,22967.38,Strata
1,Apartment,06-2020,99-years,24751.77,Strata
1,Apartment,10-2016,99-years,30700.0,Strata
1,Apartment,06-2020,99-years,24950.35,Strata
1,Apartment,06-2020,99-years,25446.81,Strata
1,Apartment,06-2020,99-years,26190.48,Strata
1,Apartment,10-2019,99-years,26536.43,Strata
1,Apartment,01-2019,99-years,25681.82,Strata
1,Apartment,02-2018,99-years,25571.68,Strata
1,Apartment,03-2020,99-years,24113.48,Strata
1,Apartment,12-2019,99-years,23451.33,Strata
1,Apartment,07-2020,99-years,24984.13,Strata
1,Apartment,06-2020,99-years,25163.12,Strata
1,Apartment,06-2020,99-years,26031.75,Strata
1,Apartment,05-2019,99-years,25975.61,Strata
1,Apartment,08-2020,99-years,20408.16,Strata
1,Apartment,11-2019,99-years,25858.97,Strata
1,Apartment,03-2018,99-years,26259.15,Strata
1,Apartment,05-2019,99-years,23730.16,Strata
1,Apartment,03-2019,99-years,25500.0,Strata
1,Apartment,04-2017,99-years,21292.04,Strata
1,Apartment,01-2019,99-years,27692.31,Strata
1,Apartment,12-2020,99-years,23148.94,Strata
1,Apartment,12-2020,99-years,20408.16,Strata
1,Apartment,01-2021,99-years,22212.64,Strata
1,Apartment,11-2020,99-years,18352.94,Strata
1,Apartment,12-2020,99-years,14527.98,Strata
1,Apartment,09-2020,99-years,16666.67,Strata
1,Apartment,11-2020,99-years,19058.82,Strata
1,Apartment,11-2020,99-years,18214.29,Strata
1,Apartment,12-2020,99-years,18072.29,Strata
1,Apartment,01-2021,99-years,14528.57,Strata
1,Apartment,01-2021,99-years,15600.0,Strata
1,Apartment,01-2021,99-years,18703.7,Strata
1,Apartment,02-2020,99-years,17543.86,Strata
1,Apartment,07-2020,99-years,16349.06,Strata
1,Apartment,09-2016,99-years,16476.19,Strata
1,Apartment,02-2016,99-years,17475.73,Strata
1,Apartment,05-2016,99-years,16144.55,Strata
1,Apartment,10-2017,99-years,16764.71,Strata
1,Apartment,06-2018,99-years,18701.3,Strata
1,Apartment,06-2017,99-years,20136.0,Strata
1,Apartment,05-2016,99-years,21600.0,Strata
1,Apartment,09-2018,99-years,18809.52,Strata
1,Apartment,01-2018,99-years,21518.52,Strata
1,Apartment,02-2018,99-years,17007.36,Strata
1,Apartment,10-2017,99-years,16601.94,Strata
1,Apartment,06-2017,99-years,16699.03,Strata
1,Apartment,01-2018,99-years,16800.0,Strata
1,Apartment,11-2017,99-years,16732.67,Strata
1,Apartment,04-2017,99-years,16964.29,Strata
1,Apartment,05-2016,99-years,16486.49,Strata
1,Apartment,02-2018,99-years,22600.0,Strata
1,Apartment,03-2018,99-years,23242.61,Strata
1,Apartment,12-2016,99-years,16791.95,Strata
1,Apartment,04-2018,99-years,17326.73,Strata
1,Apartment,02-2018,99-years,17647.06,Strata
1,Apartment,08-2016,99-years,20000.0,Strata
1,Apartment,02-2018,99-years,21649.12,Strata
1,Apartment,02-2018,99-years,17475.73,Strata
1,Apartment,05-2018,99-years,17346.94,Strata
1,Apartment,05-2018,99-years,23360.0,Strata
1,Apartment,10-2018,99-years,22222.22,Strata
1,Apartment,07-2017,99-years,17735.85,Strata
1,Apartment,03-2018,99-years,18137.25,Strata
1,Apartment,04-2018,99-years,17028.3,Strata
1,Apartment,12-2018,99-years,18291.14,Strata
1,Apartment,08-2017,99-years,16682.89,Strata
1,Apartment,10-2017,99-years,21296.3,Strata
1,Apartment,10-2017,99-years,16761.9,Strata
1,Apartment,11-2019,99-years,16778.52,Strata
1,Apartment,02-2020,99-years,20000.0,Strata
