region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,project,x,y,nettPrice
CCR,COVE DRIVE,226.0,01-05,1,920,3,3400000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,224.0,01-05,1,318,3,3600000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,223.0,01-05,1,118,3,3580000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,226.0,01-05,1,516,3,3700000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,226.0,01-05,1,219,3,3450000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,194.0,01-05,1,718,3,3100000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,200.0,01-05,1,717,3,3050000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,224.0,01-05,1,1117,3,3700000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,194.0,01-05,1,220,3,2800000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,226.0,01-05,1,118,3,3590000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,348.0,06-10,1,918,3,4400000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,194.0,01-05,1,1020,3,3180000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
CCR,COVE DRIVE,258.0,01-05,1,616,3,3800000,Condominium,4,Strata,99 yrs lease commencing from 2007,TURQUOISE,1.332969920913643,103.74747866514635,0.0
