street,refPeriod,psf75,median,psf25,district
ELLIOT ROAD,2018Q3,3.17,2.5,2.13,15
ELLIOT ROAD,2020Q1,3.0,2.73,2.52,15
ELLIOT ROAD,2019Q2,2.83,2.56,2.17,15
HILLVIEW AVENUE,2018Q3,2.1,2.01,1.93,23
HILLVIEW AVENUE,2020Q3,2.01,1.93,1.84,23
HILLVIEW AVENUE,2019Q1,2.05,1.93,1.86,23
HILLVIEW AVENUE,2019Q3,2.1,1.93,1.78,23
HILLVIEW AVENUE,2020Q1,1.94,1.91,1.82,23
HILLVIEW AVENUE,2019Q2,2.16,2.0,1.86,23
HILLVIEW AVENUE,2019Q4,2.13,1.95,1.86,23
ANG MO KIO AVENUE 2,2018Q4,3.82,3.14,3.0,20
ANG MO KIO AVENUE 2,2018Q1,3.95,3.05,2.8,20
ANG MO KIO AVENUE 2,2018Q3,3.57,3.1,2.84,20
ANG MO KIO AVENUE 2,2018Q2,3.16,2.97,2.8,20
ANG MO KIO AVENUE 2,2019Q4,3.91,3.39,3.07,20
ANG MO KIO AVENUE 2,2020Q2,3.95,3.14,2.99,20
ANG MO KIO AVENUE 2,2019Q1,4.06,3.69,2.97,20
ANG MO KIO AVENUE 2,2020Q3,3.8,3.23,3.02,20
ANG MO KIO AVENUE 2,2019Q3,4.0,3.57,3.04,20
ANG MO KIO AVENUE 2,2020Q1,3.95,3.08,2.88,20
ANG MO KIO AVENUE 2,2019Q2,4.18,3.24,2.96,20
ANG MO KIO AVENUE 2,2020Q4,3.7,3.29,3.04,20
ALEXANDRA VIEW,2020Q4,5.08,4.71,4.58,03
MOUNT SOPHIA,2020Q3,4.26,3.89,3.6,09
MOUNT SOPHIA,2018Q3,5.21,4.93,4.65,09
MOUNT SOPHIA,2018Q1,5.12,4.77,4.62,09
MOUNT SOPHIA,2019Q1,4.92,4.6,4.36,09
MOUNT SOPHIA,2018Q2,5.39,5.08,4.75,09
MOUNT SOPHIA,2018Q4,5.31,4.93,4.65,09
MOUNT SOPHIA,2019Q3,4.79,4.62,3.84,09
MOUNT SOPHIA,2020Q1,4.26,4.06,3.83,09
MOUNT SOPHIA,2019Q2,5.21,4.73,4.44,09
MOUNT SOPHIA,2019Q4,4.32,4.06,3.95,09
MOUNT SOPHIA,2020Q2,4.4,4.18,4.06,09
MOUNT SOPHIA,2020Q4,4.18,3.88,3.63,09
FLORA DRIVE,2018Q1,2.06,1.94,1.82,17
FLORA DRIVE,2018Q3,2.05,1.98,1.83,17
FLORA DRIVE,2018Q2,2.08,1.92,1.85,17
FLORA DRIVE,2018Q4,1.99,1.93,1.91,17
FLORA DRIVE,2019Q1,2.08,2.01,1.87,17
FLORA DRIVE,2019Q3,2.01,1.96,1.91,17
FLORA DRIVE,2020Q1,1.91,1.84,1.78,17
FLORA DRIVE,2019Q2,2.14,1.99,1.94,17
FLORA DRIVE,2019Q4,1.94,1.91,1.86,17
FLORA DRIVE,2020Q3,1.97,1.87,1.79,17
