region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,nettPrice
CCR,COVE DRIVE,258,01-05,1,0616,3,3800000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,226,01-05,1,0920,3,3400000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,194,01-05,1,1020,3,3180000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,223,01-05,1,0118,3,3580000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,224,01-05,1,0318,3,3600000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,226,01-05,1,0516,3,3700000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,226,01-05,1,0219,3,3450000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,194,01-05,1,0718,3,3100000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,200,01-05,1,0717,3,3050000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,224,01-05,1,1117,3,3700000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,194,01-05,1,0220,3,2800000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,226,01-05,1,0118,3,3590000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,COVE DRIVE,348,06-10,1,0918,3,4400000,Condominium,04,Strata,99 yrs lease commencing from 2007,
CCR,OCEAN DRIVE,244,01-05,1,0820,3,3850000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,178,06-10,1,1120,3,3060000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,219,06-10,1,1020,3,3400000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,217,01-05,1,1120,3,3550000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,444,06-10,1,1020,3,5300000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,06-10,1,1020,3,3000000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,444,06-10,1,0519,3,6520000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,232,06-10,1,0518,3,4744300,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,288,01-05,1,1218,3,5530000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,269,01-05,1,0416,3,4923200,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,01-05,1,0316,3,3150000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,01-05,1,0518,3,3300000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,01-05,1,0418,3,3150000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,244,01-05,1,0818,3,4688000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,219,01-05,1,0217,3,3720000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,219,06-10,1,1117,3,3750000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,01-05,1,0317,3,3100000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,01-05,1,0318,3,3650000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,06-10,1,0517,3,3220000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,219,01-05,1,1017,3,2950000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,06-10,1,0516,3,3700000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,193,01-05,1,0517,3,2900000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,214,01-05,1,1116,3,3550000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,269,06-10,1,0819,3,4750000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,06-10,1,0518,3,3800000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,219,01-05,1,0816,3,3600000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,191,01-05,1,0620,3,3300000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,244,01-05,1,0820,3,3600000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,244,01-05,1,0720,3,3438000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,188,01-05,1,1017,3,3350000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,323,06-10,1,1117,3,5020000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,217,01-05,1,0517,3,3800000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,262,01-05,1,0217,3,4880000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,OCEAN DRIVE,323,06-10,1,1120,3,4430000,Condominium,04,Strata,99 yrs lease commencing from 2006,
CCR,CENTRAL BOULEVARD,249,26-30,1,1020,3,5150000,Condominium,01,Strata,99 yrs lease commencing from 2007,
CCR,CENTRAL BOULEVARD,249,41-45,1,0716,3,6000000,Condominium,01,Strata,99 yrs lease commencing from 2007,
CCR,CENTRAL BOULEVARD,150,36-40,1,0617,3,3050000,Condominium,01,Strata,99 yrs lease commencing from 2007,
CCR,CENTRAL BOULEVARD,151,61-65,1,0319,3,3380000,Condominium,01,Strata,99 yrs lease commencing from 2007,
CCR,CENTRAL BOULEVARD,249,11-15,1,1119,3,4680000,Condominium,01,Strata,99 yrs lease commencing from 2007,
CCR,CENTRAL BOULEVARD,148,11-15,1,0118,3,3280000,Condominium,01,Strata,99 yrs lease commencing from 2007,
CCR,CENTRAL BOULEVARD,151,36-40,1,0819,3,3030000,Condominium,01,Strata,99 yrs lease commencing from 2007,
CCR,TREASURE ISLAND,1048.4,-,1,0917,3,20000000,Detached,04,Land,99 yrs lease commencing from 2006,
CCR,SHENTON WAY,44,46-50,1,1116,1,1306340,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,163,41-45,1,0121,3,3620660,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,98,21-25,1,1220,3,2000000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,46-50,1,0720,3,3468000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,46-50,1,0720,3,3260000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,364,51-55,1,0119,1,10080000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,47,36-40,1,1220,3,1088000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,82,46-50,1,0317,1,2000000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,102,11-15,1,0317,2,1975000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,42,31-35,1,0916,1,1160000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,163,36-40,1,1117,1,3505260,Apartment,01,Strata,99 yrs lease commencing from 2011,
