street,refPeriod,psf75,median,psf25,district,project,x,y
ELLIOT ROAD,2018Q3,3.17,2.5,2.13,15,ELLIOT AT THE EAST COAST,-1,-1
ELLIOT ROAD,2020Q1,3.0,2.73,2.52,15,ELLIOT AT THE EAST COAST,-1,-1
ELLIOT ROAD,2019Q2,2.83,2.56,2.17,15,ELLIOT AT THE EAST COAST,-1,-1
HILLVIEW AVENUE,2018Q3,2.1,2.01,1.93,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2020Q3,2.01,1.93,1.84,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2019Q1,2.05,1.93,1.86,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2019Q3,2.1,1.93,1.78,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2020Q1,1.94,1.91,1.82,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2019Q2,2.16,2.0,1.86,23,MERAWOODS,-1,-1
HILLVIEW AVENUE,2019Q4,2.13,1.95,1.86,23,MERAWOODS,-1,-1
ANG MO KIO AVENUE 2,2018Q4,3.82,3.14,3.0,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2018Q1,3.95,3.05,2.8,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2018Q3,3.57,3.1,2.84,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2018Q2,3.16,2.97,2.8,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2019Q4,3.91,3.39,3.07,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2020Q2,3.95,3.14,2.99,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2019Q1,4.06,3.69,2.97,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2020Q3,3.8,3.23,3.02,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2019Q3,4.0,3.57,3.04,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2020Q1,3.95,3.08,2.88,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2019Q2,4.18,3.24,2.96,20,THE PANORAMA,-1,-1
ANG MO KIO AVENUE 2,2020Q4,3.7,3.29,3.04,20,THE PANORAMA,-1,-1
ALEXANDRA VIEW,2020Q4,5.08,4.71,4.58,03,ARTRA,-1,-1
MOUNT SOPHIA,2020Q3,4.26,3.89,3.6,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2018Q3,5.21,4.93,4.65,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2018Q1,5.12,4.77,4.62,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2019Q1,4.92,4.6,4.36,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2018Q2,5.39,5.08,4.75,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2018Q4,5.31,4.93,4.65,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2019Q3,4.79,4.62,3.84,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2020Q1,4.26,4.06,3.83,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2019Q2,5.21,4.73,4.44,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2019Q4,4.32,4.06,3.95,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2020Q2,4.4,4.18,4.06,09,8 @ MOUNT SOPHIA,-1,-1
MOUNT SOPHIA,2020Q4,4.18,3.88,3.63,09,8 @ MOUNT SOPHIA,-1,-1
FLORA DRIVE,2018Q1,2.06,1.94,1.82,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2018Q3,2.05,1.98,1.83,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2018Q2,2.08,1.92,1.85,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2018Q4,1.99,1.93,1.91,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2019Q1,2.08,2.01,1.87,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2019Q3,2.01,1.96,1.91,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2020Q1,1.91,1.84,1.78,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2019Q2,2.14,1.99,1.94,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2019Q4,1.94,1.91,1.86,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2020Q3,1.97,1.87,1.79,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2020Q2,2.09,1.94,1.8,17,DAHLIA PARK CONDOMINIUM,-1,-1
FLORA DRIVE,2020Q4,1.9,1.88,1.77,17,DAHLIA PARK CONDOMINIUM,-1,-1
TOH TUCK ROAD,2018Q1,2.18,2.01,1.91,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2018Q3,2.16,2.04,1.96,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2018Q2,2.23,2.09,1.95,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2018Q4,2.21,2.09,1.98,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2019Q4,2.2,2.12,2.03,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2020Q2,2.26,2.11,2.01,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2019Q1,2.18,2.05,1.97,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2019Q3,2.18,2.06,1.93,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2020Q1,2.28,2.13,1.96,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2020Q3,2.2,2.12,1.99,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2019Q2,2.23,2.09,1.97,21,SIGNATURE PARK,-1,-1
TOH TUCK ROAD,2020Q4,2.23,2.13,1.99,21,SIGNATURE PARK,-1,-1
GRANGE ROAD,2018Q1,4.77,4.28,3.72,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2018Q3,4.49,4.26,3.98,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2019Q3,4.54,4.27,3.88,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2020Q1,4.49,4.34,4.17,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2019Q2,4.5,4.24,3.95,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2020Q3,4.4,4.15,3.81,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2020Q2,4.69,4.37,4.15,10,CLIVEDEN AT GRANGE,-1,-1
GRANGE ROAD,2020Q4,4.3,4.18,3.86,10,CLIVEDEN AT GRANGE,-1,-1
AVA ROAD,2019Q1,2.5,2.45,2.32,12,AVA TOWERS,-1,-1
AVA ROAD,2018Q2,2.53,2.22,1.99,12,AVA TOWERS,-1,-1
AVA ROAD,2020Q1,2.38,2.31,2.21,12,AVA TOWERS,-1,-1
AVA ROAD,2019Q2,2.49,2.33,2.16,12,AVA TOWERS,-1,-1
OCEAN DRIVE,2018Q4,3.74,3.51,3.43,04,THE COAST AT SENTOSA COVE,-1,-1
OCEAN DRIVE,2018Q1,3.56,3.41,3.14,04,THE COAST AT SENTOSA COVE,-1,-1
